Type,loc,class,amp_x,amp_y,amp_z,power_x,power_y,power_z,sma,iqr_x,iqr_y,iqr_z,var_x,var_y,var_z,ori_x,ori_y,ori_z
dynamic,外套右邊,run,58.03838992,33.87116717,39.37955469,10543.88134,2403.072136,2918.950214,12.11540571,11.4138521,3.772836208,6.408373833,56.61202816,17.08697511,19.64921119,2714.963514,6497,4001
dynamic,外套右邊,run,53.62874955,38.8194169,43.20990596,9917.453271,3039.115755,3024.836715,11.97686122,9.581914544,3.153110445,4.787552357,57.82590488,20.50663874,22.03562413,3134.823349,7121,3816
dynamic,外套右邊,run,52.25075142,37.54476201,42.1567703,9513.915291,3537.335507,3439.642408,12.18063442,10.12672836,3.398276865,5.672874928,54.26675545,24.27048682,24.91489987,2815.976545,7261,3677
dynamic,外套右邊,run,56.02324799,41.84494273,44.56410933,9988.947232,3549.618352,3934.682283,12.63531992,11.73392904,3.445947915,5.454949141,56.44078698,22.93907181,30.22317692,2217.348886,6215,3721
dynamic,外套右邊,run,64.4291426,32.83098571,51.25085207,11364.1342,2229.666933,4365.304473,12.97093377,12.48985887,2.730879717,6.75569272,62.52329846,14.5239997,34.31908422,3239.60087,6320,3930
dynamic,外套右邊,run,53.69468483,35.83631339,44.29477296,10191.55578,2325.219972,3050.723147,12.34982466,11.1073935,3.384656608,5.237023592,51.96664923,15.52553208,21.1988087,3173.836689,6125,3482
dynamic,外套右邊,run,24.71571204,19.19804879,28.39323031,2355.853681,1392.268067,9102.916053,13.83497464,4.576436639,3.731975287,1.797885895,13.91465035,6.602374907,7.952043103,396.9673004,821,637
dynamic,外套右邊,run,5.269628448,6.172206387,11.51222139,721.0111719,1135.138238,10411.69107,14.2681655,0.735498786,0.640156507,0.381369591,0.218917269,0.303986357,0.087728322,58.26878357,89,101
dynamic,外套右邊,run,23.40005085,32.33060931,25.61314303,1970.477711,6127.109236,4925.275588,13.59151091,4.188256979,8.900897324,8.737453461,15.31988049,21.87819678,22.54038193,374.6097292,1225,662
dynamic,外套右邊,run,22.41897503,44.43323317,24.76014013,862.7437635,13481.60876,1068.229307,13.13214337,2.451662473,3.507238388,2.397181161,4.80120983,23.01821253,6.231013515,896.458519,3124,1651
dynamic,外套右邊,run,26.42033122,51.23335603,37.76838794,1418.901392,13838.7795,3682.270595,14.31796489,3.098629117,13.89956459,4.671779275,11.08839325,54.32974604,25.05336623,2742.283951,7272,2420
dynamic,外套右邊,run,32.85055546,49.95982389,37.4027488,2369.630657,14124.45977,3721.993775,15.07623524,4.249548554,14.06300966,4.297219634,18.03020413,52.99905549,24.98895224,2142.05265,6872,2855
dynamic,外套右邊,run,28.64514379,47.16806151,36.56616997,1988.627802,13695.88819,3728.753534,14.60218324,3.834127903,13.92680639,4.746691108,15.24022549,52.39622435,23.70856709,1628.692459,6351,2458
